EVCr    | Cycles | Pattern
 99.174% |    883 | R3_S2_P1SS20102
 89.912% |    917 | R5_S3_P10S1
 99.505% |    916 | R4_S3_P120SS2
 96.670% |    911 | R4_S1_P210SS2
 92.674% |    930 | R5_S3_P11S0
 90.715% |    959 | R4_S3_PSS221S0
 81.097% |    965 | R4_S2_PS12S120
 99.683% |    987 | R4_S1_PS2S2S10S
 99.646% |   1015 | R5_S4_P1S0S12
 99.568% |   1017 | R5_S4_P1S1S02
 93.048% |   1023 | R5_S4_P2S01S1
 80.734% |   1022 | R4_S2_P121S20S
 80.034% |   1021 | R4_S2_P121S02S
 96.830% |   1031 | R3_S2_P0201SSS201
 99.598% |   1034 | R5_S4_P120S1S
 77.488% |   1040 | R7_S3_P0S1S
 77.963% |   1038 | R5_S4_PS201S1
 85.635% |   1034 | R5_S2_P221S0S
 92.338% |   1044 | R5_S4_P20S1S1
 87.212% |   1074 | R4_S2_PS1S22S10S
 86.495% |   1085 | R3_S2_PSS21SS02001
 70.350% |   1078 | R5_S2_PSS2012
 86.532% |   1081 | R3_S2_PSS21SS02001
 71.572% |   1075 | R5_S2_PSS2102
 96.822% |   1115 | R5_S2_P1SS10
 88.278% |   1135 | R4_S2_PS122S1S0
 94.803% |   1122 | R3_S2_P02S01SSS201
 99.623% |   1146 | R5_S3_P2S0S1S2
 95.144% |   1150 | R4_S2_PS21S2102
 73.058% |   1152 | R6_S3_P0S01S
 97.726% |   1157 | R4_S4_PS2SS1001
 91.679% |   1182 | R7_S3_P10S2
 99.137% |   1195 | R7_S3_PS012
 99.739% |   1184 | R5_S4_P2S01SS1
 88.928% |   1210 | R4_S2_PS212S201
 96.566% |   1234 | R6_S3_PS2201S
 78.311% |   1229 | R7_S3_P0SS1
 99.604% |   1217 | R6_S1_P1S0S02
 99.807% |   1209 | R4_S1_P0SSS22011
 99.761% |   1221 | R5_S2_PS2S2S01S
 99.746% |   1236 | R5_S2_PS22S10S
 98.778% |   1230 | R5_S3_PS20SSS1
 90.940% |   1236 | R6_S1_P02S10S
 93.869% |   1235 | R6_S2_P1SS02
 99.688% |   1236 | R6_S1_P21S00S
 99.582% |   1552 | R6_S4_PS0S12
 99.766% |   1247 | R5_S2_P1SS220SS
 97.642% |   1248 | R5_S2_PSS2S012
 94.506% |   1258 | R6_S3_P21SS02
 99.190% |   1271 | R6_S4_P21SS0
 97.147% |   1331 | R5_S2_PSSS2012S
 99.472% |   1283 | R5_S2_PSS2012S
 99.415% |   1283 | R4_S4_P0SS1S20SS1
 99.582% |   1305 | R5_S1_PS201012S
 99.610% |   1309 | R5_S1_P220011SS
 99.825% |   1316 | R4_S1_P0SS22S01S1
 99.603% |   1341 | R4_S1_P0302SS1S132
 93.056% |   1339 | R6_S2_PS0101
 97.697% |   1411 | R5_S1_P2S11002SS
 96.977% |   1384 | R3_S2_P21S210S0201021
 99.339% |   1433 | R7_S3_P2S01SS
 88.270% |   1383 | R5_S1_P1S2001S2S
 82.523% |   1396 | R5_S1_P122010SSS
 99.790% |   1384 | R3_S2_P0211S1022S2100
 99.768% |   1426 | R4_S2_P121S022112
 89.794% |   1426 | R6_S2_P1100S0
 88.987% |   1435 | R7_S3_PS0122
 98.642% |   1439 | R6_S1_P210S0S0
 98.007% |   1443 | R5_S1_P1202SS10
 74.814% |   1454 | R5_S1_P211S00S2
 97.652% |   1434 | R5_S1_PS22S0011
 99.681% |   1468 | R7_S1_P0111S
 99.666% |   1442 | R7_S1_PS1S02S3
 99.744% |   1422 | R4_S2_P202S211112
 99.705% |   1449 | R5_S1_P2110SS02
 99.299% |   1447 | R5_S1_P20102SS1
 97.308% |   1444 | R5_S1_P012S01S2
 90.277% |   1448 | R7_S2_P21S02S
 92.578% |   1462 | R6_S1_P2S0S0S1S
 85.887% |   1452 | R5_S1_P021S2S01
 93.564% |   1467 | R5_S1_P1S220S01
 78.395% |   1465 | R5_S1_P0S021S12
 89.706% |   1468 | R6_S4_P0102SS1
 92.427% |   1485 | R3_S2_P0S1120S2S120102S
 99.686% |   1528 | R3_S2_PS0S2S102S1S01021S
 99.672% |   1329 | R5_S2_PS2S1S2S0
 98.678% |   1495 | R3_S2_P0SS112S02S120102
 96.054% |   1481 | R6_S2_P2S0SSS1
 95.807% |   1475 | R6_S2_P2S0SSS1
 93.414% |   1486 | R3_S2_PSSS210S01022S101
 93.637% |   1477 | R5_S1_P1S0S21S02
 86.635% |   1491 | R6_S3_PS2S021S
 97.322% |   1545 | R6_S1_P1002S0S
 84.957% |   1526 | R6_S1_P010S20S
 99.047% |   1525 | R6_S3_PS2SS201S
 89.553% |   1530 | R5_S1_P021SS2S01
 94.856% |   1525 | R4_S2_P202S2S11112
 84.357% |   1529 | R5_S1_P120SS2S01
 97.692% |   1553 | R6_S3_P2SS012S
 84.952% |   1558 | R3_S2_PSS2S10S0S1022S101
