EVCr    | Time  | Pattern 
 0.999% |  1163 | R3_S1_P02S0121 
 0.195% |  1005 | R3_S1_P210S012S 
 0.942% |  1265 | R3_S1_P01230123S 
 1.000% |  1330 | R3_S1_P012S0112 
 1.000% |  1332 | R3_S1_P02S01221 
 0.998% |  1336 | R4_S3_P1003S12 
 1.000% |  1391 | R3_S1_P02011212S 
 1.000% |  1391 | R3_S1_P012SS0112 
 1.000% |  1345 | R4_S4_P112S10 
 1.000% |  1408 | R3_S1_P012S01012 
 0.999% |  1427 | R3_S1_P02S012121 
 0.999% |  1486 | R4_S1_P12300S12 
 1.000% |  1535 | R4_S1_P201210S3 
 1.000% |  1544 | R4_S3_P221010SS 
 0.943% |  1478 | R3_S1_P010S3132S2 
 0.999% |  1550 | R4_S4_P12S30312 
 1.000% |  1565 | R4_S4_PS2S0111S 
 0.967% |  1631 | R4_S3_P012012S3S 
 0.999% |  1636 | R4_S4_PS2S0111SS 
 0.853% |  1738 | R4_S4_P12S303S122 
 1.000% |  1678 | R4_S3_P11201032S 
 0.989% |  1656 | R5_S1_P22101S 
 1.000% |  1678 | R3_S1_P1S3020S2331 
 0.931% |  1684 | R3_S1_PS1002S213323 
 1.000% |  1675 | R5_S2_P112S02 
 0.991% |  1809 | R4_S4_P0S323SS211 
 1.000% |  1691 | R5_S1_P122S01 
 1.000% |  1713 | R3_S1_P10012SS201 
 1.000% |  1696 | R3_S1_P112S02S012 
 1.000% |  1696 | R3_S1_P012S0S1012 
 1.000% |  1707 | R3_S1_P012S012012 
 1.000% |  1728 | R5_S1_P21S021 
 0.998% |  1728 | R4_S1_P012SS012 
 0.996% |  1734 | R4_S1_P102SS012 
 0.975% |  1731 | R4_S3_P012012SS3S 
 0.999% |  1747 | R3_S1_PS3S02SS01132 
 0.998% |  1765 | R4_S1_P20S10221 
 1.000% |  1761 | R3_S1_PS2112SS0120 
 1.000% |  1773 | R6_S2_P00123S 
 0.973% |  1793 | R6_S2_P01233S 
 0.999% |  1791 | R4_S1_P012SSS012 
 1.000% |  1799 | R5_S4_PS2S0112 
 1.000% |  1786 | R4_S1_P012SSS012 
 1.000% |  1786 | R5_S3_P1SS2102 
 1.000% |  1790 | R5_S1_P02112S0 
 0.994% |  1809 | R5_S4_PS2S0122 
 0.987% |  1827 | R3_S1_P12S1S0S2001 
 1.000% |  1864 | R5_S4_P012S021 
 0.991% |  1936 | R5_S2_P1S12022S 
 1.000% |  1872 | R4_S1_P220SS1021 
 1.000% |  1909 | R3_S1_PS3SS022231130 
 0.828% |  1905 | R4_S4_P12SS303312 
 1.000% |  1909 | R3_S1_P012SSS1S2012 
 1.000% |  1915 | R4_S1_P20S102021 
 0.992% |  1924 | R6_S2_P010123S 
 0.698% |  1775 | R5_S4_PS2S2S011S 
 0.998% |  1985 | R5_S4_P0SS33122S 
 0.993% |  1977 | R3_S1_PS3S20S0322131 
 1.000% |  1912 | R4_S3_P0002121S3S 
 1.000% |  2029 | R4_S4_P3SSS213120 
 1.000% |  1997 | R5_S4_PS2S0121S 
 1.000% |  2025 | R4_S4_P3SSS213120 
 0.999% |  2000 | R4_S4_PS3SSS213120 
 1.000% |  2004 | R3_S1_P312S0S2S211330 
 1.000% |  2008 | R3_S1_P02S0121S0121 
 1.000% |  2033 | R3_S1_P2S012120010S 
 1.000% |  2013 | R5_S2_P01233S33S 
 1.000% |  2026 | R4_S4_P12S3S03122 
 0.998% |  1936 | R5_S1_P221011S 
 0.997% |  2059 | R5_S4_PS2SS0112 
 1.000% |  2061 | R5_S4_PSS2S0112S 
 0.997% |  2061 | R4_S3_P01012012S3 
 1.000% |  2063 | R3_S1_P3120SS22113S30 
 1.000% |  2080 | R4_S4_PS301S3SS212 
 1.000% |  2115 | R3_S1_P02SS0102S0121 
 1.000% |  2066 | R3_S1_P122S02SS10011 
 1.000% |  2237 | R5_S1_P2210101S 
 1.000% |  2095 | R3_S1_PS210S0101022S 
 0.999% |  2025 | R4_S4_P12S3S03312 
 0.957% |  2085 | R4_S3_P012222S03S1 
 1.000% |  2175 | R4_S1_P2S0SS10021 
 1.000% |  2169 | R6_S1_PSS011233 
 1.000% |  2172 | R4_S4_P0S323S21111 
 1.000% |  2174 | R3_S1_P02S010S2S0121S 
 0.999% |  2183 | R5_S1_P22101S01S 
 1.000% |  2176 | R4_S3_PSS122100203 
 1.000% |  2173 | R4_S3_P2SS101123S0 
 1.000% |  2194 | R3_S1_PS2SS012120010S 
 1.000% |  2195 | R3_S1_PS012S01212S012 
 1.000% |  2198 | R4_S4_P1S32303SS12 
 1.000% |  2096 | R5_S2_P01233233S 
 1.000% |  2262 | R4_S1_P2S0S102021 
 0.975% |  2227 | R6_S2_PS2012013 
 1.000% |  2249 | R6_S2_PS0122103 
 1.000% |  2242 | R4_S4_P0S323S23S211 
 1.000% |  2245 | R4_S3_PSS1102S03S21 
 1.000% |  2261 | R4_S1_P20S1021021 
 1.000% |  2276 | R4_S4_P31S2S0S2311 
 1.000% |  2268 | R4_S1_P20S1021021 
 0.975% |  2264 | R6_S2_PS2012013
