EVCr    | Cycles | Pattern
 97.035% |  11827 | R2_S4_P1S01
 94.776% |  12367 | R2_S3_P0S123
 97.174% |  12021 | R2_S3_PS102S
 97.393% |  13064 | R2_S4_P2S201
 97.395% |  13037 | R2_S4_P22S01
 96.376% |  14873 | R2_S1_PSS2013
 95.030% |  14885 | R2_S2_PS123S0
 97.742% |  14906 | R2_S1_P1032SS
 97.240% |  15031 | R2_S4_P00123S
 97.445% |  15229 | R2_S2_P1S100
 95.592% |  18164 | R2_S1_P2S0112
 97.543% |  18008 | R3_S2_PS012
 97.256% |  17119 | R3_S2_P2S10
 96.687% |  13999 | R3_S1_PS012
 97.049% |  14017 | R3_S1_P2S01
 97.909% |  16402 | R3_S4_P2S10
 97.528% |  16498 | R3_S2_PS102
 96.842% |  16399 | R3_S2_P2S10
 95.719% |  17760 | R2_S3_P01SS01
 97.175% |  18440 | R2_S2_P1S1000
 97.849% |  18002 | R3_S1_P1S10
 96.655% |  18272 | R3_S3_P1S10
 97.528% |  17682 | R3_S2_P1S01
 97.520% |  18094 | R3_S1_P1S01
 97.257% |  18436 | R3_S2_P1S01
 97.853% |  18784 | R3_S1_P3S210
 97.481% |  18359 | R3_S3_P23S01
 97.693% |  18728 | R3_S3_P1203S
 97.527% |  18534 | R3_S1_P0S213
 97.409% |  18370 | R3_S2_PS2013
 96.972% |  18779 | R3_S4_P0213S
 96.244% |  19027 | R2_S4_P22S2S01
 95.739% |  18789 | R2_S2_P12020S1
 97.685% |  18873 | R2_S4_P22S0S01
 95.833% |  18901 | R2_S2_P0211S02
 93.792% |  19622 | R2_S3_P001221S
 92.510% |  18937 | R2_S2_P00121S2
 95.609% |  19432 | R2_S1_PS203S13S
 97.948% |  20355 | R3_S1_PS012S
 96.963% |  20414 | R3_S2_P0122S
 96.810% |  20384 | R3_S2_P2SS10
 96.441% |  20655 | R2_S3_P01SSS01
 96.309% |  21591 | R2_S3_P102S0S21
 96.597% |  22053 | R2_S2_P2S210S01
 96.423% |  21455 | R2_S2_PSS012012
 95.965% |  21556 | R2_S2_PS0120122
 95.606% |  21830 | R2_S2_P20S20112
 95.851% |  21686 | R2_S2_P2S001211
 96.420% |  22105 | R3_S2_P2SS013
 94.397% |  22379 | R3_S2_P32SS10
 97.226% |  21861 | R3_S4_P3S0S12
 95.705% |  21926 | R3_S1_P32SS10
 95.837% |  21695 | R3_S4_P30SS12
 96.283% |  21892 | R3_S4_P0213SS
 97.019% |  21904 | R3_S4_P0213SS
 95.893% |  21924 | R3_S2_P0S1233
 97.304% |  22662 | R4_S4_PS012
 97.084% |  22259 | R3_S2_P1SS01
 96.656% |  22526 | R3_S2_P1S011
 97.426% |  22376 | R3_S2_P1S011
 93.925% |  23909 | R2_S1_PSS20SS2013
 95.473% |  24301 | R2_S2_P12S02SS01
 97.194% |  24462 | R2_S2_P2SS210S01
 97.590% |  24403 | R3_S1_P02SS21
 96.515% |  24205 | R3_S3_P102SS2
 96.454% |  24541 | R3_S1_PS0S012
 96.960% |  24140 | R3_S1_PS012SS
 96.365% |  24400 | R3_S2_P102SSS
 97.412% |  24476 | R3_S1_PSS012S
 97.470% |  24520 | R4_S2_P0S123
 97.311% |  25347 | R4_S2_P132S0
 96.964% |  25527 | R4_S2_P30S21
 97.588% |  25682 | R4_S3_P13S20
 97.116% |  25378 | R4_S2_PS0123
 96.663% |  27290 | R3_S2_P31S3S20
 95.865% |  26442 | R3_S2_PS0S1233
 97.019% |  26452 | R3_S4_P3S0SS12
 96.599% |  26412 | R3_S2_PS0S1233
 96.657% |  25058 | R3_S2_P3S2S310
 97.323% |  24715 | R3_S2_P103213S
 96.595% |  25176 | R3_S2_PS201313
 95.080% |  25866 | R2_S3_PSSS101022S
 96.515% |  25902 | R3_S3_P1S1010
 97.360% |  25893 | R2_S3_P1021S20SSS
 96.777% |  25929 | R2_S2_P1200S2S2S1
 97.827% |  25696 | R3_S2_P1SSS01
 96.578% |  26512 | R2_S2_P2S21S0SS01
 97.636% |  26257 | R4_S4_PS012S
 97.344% |  26296 | R4_S4_P102SS
 97.493% |  26451 | R4_S4_PS102S
 97.831% |  26616 | R4_S2_P1S012
 97.580% |  26718 | R4_S4_PS102S
 96.598% |  26454 | R4_S3_P2S012
 97.954% |  26554 | R5_S2_P012S
 97.496% |  26696 | R5_S4_PS102
 97.027% |  26712 | R5_S2_PS102
 97.832% |  26322 | R4_S3_P1022S
 96.912% |  27255 | R5_S2_P2S01
 96.214% |  27324 | R3_S1_P02SSS21
 97.686% |  27477 | R3_S3_P102SSS2
